#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Otu4391	8	1	0	0	0	0	0	0	0	0
Otu617	5	78	18	5	6	24	0	0	0	0
Otu4633	5	0	0	0	0	0	0	0	0	0
Otu545	1	0	6	6	31	14	9	1	1	0
Otu3692	1	0	2	2	1	10	4	7	6	8
Otu4530	1	5	0	0	0	1	0	0	0	0
Otu4230	2	2	2	0	0	0	0	0	0	0
Otu3783	1	0	0	0	3	0	0	0	3	0
Otu4129	1	9	1	0	3	2	0	0	0	0
Otu429	1	4	0	26	231	68	135	42	29	164
Otu1407	1	2	1	1	14	25	2	0	8	0
Otu670	5	11	48	0	0	6	0	0	0	0
Otu5791	1	6	1	0	0	0	0	0	0	0
Otu182	1	212	1	7	7	43	0	0	0	0
Otu4638	1	0	0	0	0	2	0	0	0	0
Otu2186	4	13	0	13	22	4	69	12	49	4
Otu675	3	48	0	0	2	43	0	0	0	0
Otu1995	1	4	0	0	2	6	0	0	0	0
