#OTU ID	ERR8056034	ERR8056035	ERR8056037	ERR8056042	ERR8056045	ERR8056051	ERR8056057	ERR8056066	ERR8056069	ERR8056078
Zotu1800	2	0	17	5	2	3	0	0	0	2
Zotu2733	1	22	0	3	0	1	0	0	0	0
Zotu592	2	39	24	6	0	29	3	0	2	0
Zotu4036	10	1	1	0	0	2	0	0	0	0
Zotu923	2	2	0	1	0	2	2	11	40	7
Zotu3291	3	12	2	0	0	3	0	0	0	0
Zotu2531	3	15	0	7	0	5	0	0	0	0
Zotu2245	1	23	0	1	8	7	0	0	0	0
Zotu2350	4	2	8	0	8	11	0	0	11	0
Zotu3590	1	7	1	4	0	0	0	0	0	0
Zotu443	2	59	0	5	5	75	0	0	0	0
Zotu2435	1	11	0	3	6	3	1	10	7	7
Zotu2126	3	18	0	0	4	1	4	8	2	1
Zotu1931	4	6	10	1	6	13	0	0	0	0
Zotu498	2	40	8	52	5	26	0	0	0	0
Zotu965	3	7	27	9	1	8	0	0	0	0
Zotu1085	3	39	4	6	0	1	0	0	0	0
Zotu469	4	33	78	3	1	8	0	0	0	0
Zotu2696	1	22	1	1	0	0	0	0	0	0
Zotu1425	1	17	0	3	6	26	2	0	1	8
Zotu4221	2	0	0	9	0	0	2	0	11	0
Zotu4176	1	9	1	3	0	14	5	0	0	0
Zotu3571	1	4	9	0	0	0	0	0	0	0
Zotu2611	2	33	4	0	0	3	0	0	0	0
Zotu937	2	9	3	12	1	7	40	7	14	2
Zotu2321	1	11	0	1	8	11	0	0	1	0
Zotu3800	6	0	1	1	2	2	0	0	0	0
Zotu3003	1	0	0	0	12	1	3	0	5	5
Zotu3923	1	9	0	1	0	1	0	0	0	0
Zotu813	3	16	3	7	4	30	0	0	2	0
Zotu1710	2	29	0	0	0	10	0	0	0	0
Zotu3531	1	0	1	1	0	1	7	0	4	5
Zotu93	4	89	340	38	23	81	14	0	25	12
Zotu3377	6	22	1	0	1	3	0	0	0	0
Zotu3972	1	7	3	5	3	2	0	0	0	0
Zotu1301	1	1	0	0	14	28	6	0	14	0
Zotu3986	3	10	0	1	0	5	0	0	0	0
Zotu609	3	72	3	5	0	1	0	0	0	4
Zotu605	2	10	46	4	11	10	8	2	13	0
Zotu1865	5	0	0	0	16	3	0	0	0	0
Zotu2794	3	50	3	5	0	6	0	0	0	0
Zotu1959	6	31	9	0	0	0	0	0	0	0
Zotu14	1	5	0	498	1254	239	143	5	756	13
Zotu1714	1	1	0	1	0	0	0	13	8	9
Zotu1545	2	27	15	0	0	3	0	0	0	0
Zotu1356	1	16	0	1	0	23	0	0	0	0
Zotu2803	7	31	1	16	3	15	21	0	0	2
Zotu369	1	0	142	1	0	0	0	0	0	0
Zotu1957	2	15	1	2	8	13	2	0	0	0
Zotu1878	1	51	0	3	3	7	0	0	0	0
